"title","year","imdb","metascore","gross"
"Goodfellas",1990,8.7,90,46836394
"Home Alone",1990,7.6,63,285761243
"Edward Scissorhands",1990,7.9,74,56362352
"Back to the Future Part III",1990,7.4,55,87727583
"The Godfather Part III",1990,7.6,60,66666062
"Die Hard 2",1990,7.2,67,117540947
"Total Recall",1990,7.5,57,119394840
"Pretty Woman",1990,7.0,51,178406268
"Dances with Wolves",1990,8.0,72,184208848
"Ghost",1990,7.1,52,217631306
"Misery",1990,7.8,75,61276872
"The Hunt for Red October",1990,7.6,58,122012643
"Predator 2",1990,6.3,46,30669413
"Kindergarten Cop",1990,6.1,61,91457688
"Rocky V",1990,5.3,55,40946358
"Miller's Crossing",1990,7.7,66,5080409
"Awakenings",1990,7.8,74,52096475
"Tremors",1990,7.1,65,16667084
"Jacob's Ladder",1990,7.5,62,26118851
"Gremlins 2: The New Batch",1990,6.4,-1,41482207
"Teenage Mutant Hero Turtles",1990,6.8,51,135265915
"Wild at Heart",1990,7.2,52,14560247
"RoboCop 2",1990,5.8,42,45681173
"Flatliners",1990,6.6,55,61490000
"Days of Thunder",1990,6.1,60,82670733
"Nikita",1990,7.3,56,5017971
"Arachnophobia",1990,6.4,67,53208180
"Darkman",1990,6.4,65,33878502
"Dick Tracy",1990,6.1,68,103738726
"Cry-Baby",1990,6.5,63,8266343
"Child's Play 2",1990,5.9,37,28501605
"Look Who's Talking Too",1990,4.7,-1,47489074
"The Witches",1990,6.9,78,10360553
"Bird on a Wire",1990,6.0,36,70980000
"Night of the Living Dead",1990,6.9,54,5835247
"The Rescuers Down Under",1990,6.9,70,27931461
"Another 48 Hrs.",1990,5.9,23,80818974
"Presumed Innocent",1990,6.9,72,86303188
"Joe Versus the Volcano",1990,5.8,45,39404261
"A.W.O.L.: Absent Without Leave",1990,6.2,41,24078196
"King of New York",1990,7.0,66,2554476
"Young Guns II: Blaze of Glory",1990,6.5,47,44143410
"Troll 2",1990,2.9,-1,-1
"Mermaids",1990,6.7,56,35419397
"Problem Child",1990,5.5,27,53470900
"Lord of the Flies",1990,6.4,49,13985225
"Hard to Kill",1990,5.8,41,47410000
"Air America",1990,5.8,33,31053601
"Memphis Belle",1990,6.9,-1,27441977
"Pump Up the Volume",1990,7.2,77,11541758
"The Exorcist III",1990,6.4,48,26098824
"The Rookie",1990,5.9,41,21633874
"The Grifters",1990,6.9,86,13446769
"DuckTales the Movie: Treasure of the Lost Lamp",1990,6.9,-1,18115724
"The NeverEnding Story II: The Next Chapter",1990,5.2,-1,17373527
"Dreams",1990,7.8,-1,1963207
"Men at Work",1990,6.0,34,16247964
"3 Men and a Little Lady",1990,5.5,51,71609321
"Green Card",1990,6.2,58,29888235
"Cyrano de Bergerac",1990,7.5,79,15140007
"The Bonfire of the Vanities",1990,5.6,27,15691192
"Hamlet",1990,6.7,53,20710451
"Rosencrantz & Guildenstern Are Dead",1990,7.4,-1,739104
"State of Grace",1990,7.2,60,1911542
"Slacker",1990,7.1,69,1228108
"Marked for Death",1990,6.0,49,46044400
"Nightbreed",1990,6.6,40,8862354
"Quigley Down Under",1990,6.9,51,21413105
"Quick Change",1990,6.8,56,15260154
"The Freshman",1990,6.4,78,21460601
"My Blue Heaven",1990,6.3,35,23591472
"Pacific Heights",1990,6.4,55,29381956
"Days of Being Wild",1990,7.6,96,141864
"Internal Affairs",1990,6.5,63,27734391
"Death Warrant",1990,5.7,34,16853487
"The Adventures of Ford Fairlane",1990,6.5,24,21413502
"Revenge",1990,6.3,35,15650000
"Navy Seals",1990,5.6,38,25069101
"Close-Up",1990,8.3,-1,2670
"Postcards from the Edge",1990,6.7,71,37963281
"Tales from the Darkside",1990,6.3,54,16324573
"Europa Europa",1990,7.6,75,5575738
"Reversal of Fortune",1990,7.2,93,15445131
"The Russia House",1990,6.1,67,22998000
"Leatherface: Texas Chainsaw Massacre III",1990,5.1,30,5765562
"Re-Animator 2",1990,6.3,-1,-1
"I Love You to Death",1990,6.4,45,16186793
"Alice",1990,6.6,67,7331647
"Cadillac Man",1990,5.7,50,27627310
"House Party",1990,6.4,76,26386000
"Hardware",1990,6.0,-1,5728953
"Blue Steel",1990,5.8,54,8220000
"Henry & June",1990,6.3,-1,11567449
"The Sheltering Sky",1990,6.8,-1,2075084
"Mr. Destiny",1990,6.4,-1,15379253
"Captain America",1990,3.2,-1,-1
"Mo' Better Blues",1990,6.6,61,16153600
"The Two Jakes",1990,6.2,56,10005969
"White Hunter Black Heart",1990,6.6,-1,2319124
"The Hot Spot",1990,6.4,56,1293976
"Dark Angel",1990,6.2,-1,4348368
"Graveyard Shift",1990,5.0,28,11582891
"Una bala en la cabeza",1990,7.6,-1,-1
"Metropolitan",1990,7.4,77,2938208
"Trust",1990,7.3,67,356122
"Life Is Sweet",1990,7.5,88,1516414
"The Hairdresser's Husband",1990,7.2,-1,1155800
"The Match Factory Girl",1990,7.6,-1,-1
"Frankenhooker",1990,6.2,-1,205068
"Ernest Goes to Jail",1990,5.4,40,25029569
"The Handmaid's Tale",1990,6.0,-1,4960385
"Agneepath",1990,7.7,-1,-1
"Repossessed",1990,4.9,-1,1382462
"Narrow Margin",1990,6.6,-1,10873237
"Filofax",1990,6.5,-1,20005435
"Miami Blues",1990,6.4,72,9888167
"The Krays",1990,6.6,70,2060847
"Nuns on the Run",1990,6.0,-1,10959015
"Ju Dou",1990,7.7,-1,1986433
"White Palace",1990,6.5,66,17487531
"Truly Madly Deeply",1990,7.2,72,1554742
"Ghost Dad",1990,4.4,-1,24707633
"Bad Influence",1990,6.2,63,12626043
"The Reflecting Skin",1990,6.8,-1,-1
"Havana",1990,6.1,-1,9243140
"Stanley & Iris",1990,6.4,-1,5820015
"Desperate Hours",1990,5.4,-1,2742912
"Dragon Ball Z: Super Battle in the World",1990,7.0,-1,-1
"Delta Force 2: The Colombian Connection",1990,4.9,-1,6698361
"Class of 1999",1990,5.9,33,2459895
"An Angel at My Table",1990,7.5,79,1054638
"Hamoun",1990,8.0,-1,-1
"Two Evil Eyes",1990,6.1,61,349618
"Maniac Cop 2",1990,5.9,-1,-1
"Boiling Point",1990,6.8,-1,1471
"La Gloire de Mon Père",1990,7.6,-1,1710856
"Wings of the Apache",1990,4.8,-1,14760451
"I Hired a Contract Killer",1990,7.2,-1,-1
"Dragon Ball Z The: Strongest Guy in the World",1990,6.8,-1,-1
"Avalon",1990,7.2,-1,15740796
"The Field",1990,7.4,-1,1414017
"Q & A",1990,6.6,-1,11207891
"Werner - Beinhart!",1990,6.7,-1,-1
"Stockade",1990,6.5,-1,2070871
"The Guardian",1990,5.4,35,17037887
"Flashback",1990,6.3,-1,6488144
"Welcome Home, Roxy Carmichael",1990,5.9,44,3989297
"Dil",1990,6.7,-1,-1
"Le Château de Ma Mère",1990,7.6,-1,1477071
"Jetsons: The Movie",1990,5.6,46,10900000
"Moon 44",1990,5.1,39,-1
"The Comfort of Strangers",1990,6.3,61,1244381
"American Ninja 4: The Annihilation",1990,3.9,-1,358047
"Loose Cannons",1990,4.9,-1,5585154
"Basket Case 2",1990,5.4,-1,-1
"A Shock to the System",1990,6.7,-1,3417056
"Crazy People",1990,6.1,42,13236513
"Mother",1990,8.5,-1,-1
"Almost an Angel",1990,5.6,-1,6939946
"Ghayal",1990,7.6,-1,-1
"Brain Dead",1990,6.0,-1,1627955
"Michael Madana Kama Rajan",1990,8.5,-1,-1
"A Tale of Springtime",1990,7.3,-1,201332
"Vincent & Theo",1990,6.9,65,2231274
"The First Power",1990,5.7,35,22424195
"Hidden Agenda",1990,6.9,-1,1030938
"Everybody's Fine",1990,7.7,-1,1745470
"Roger Corman's Frankenstein Unbound",1990,5.5,-1,334748
"Soultaker",1990,2.4,-1,233150
"Gülen Adam",1990,7.0,-1,-1
"The Ages of Lulu",1990,5.6,-1,-1
"Mountains of the Moon",1990,7.2,-1,4011793
"Betsy's Wedding",1990,5.6,-1,19740070
"Catchfire",1990,5.4,-1,-1
"¿Qué hacemos con la abuela?",1990,7.1,-1,604624
"Spaced Invaders",1990,5.4,-1,15369573
"Ski Patrol",1990,5.3,-1,8533973
"The Long Walk Home",1990,7.3,73,4803039
"Heart Condition",1990,5.6,-1,4134992
"Ski School",1990,5.1,-1,-1
"The Prisoner",1990,5.9,-1,-1
"After Dark, My Sweet",1990,6.6,78,2678414
"A Chinese Ghost Story II",1990,7.0,-1,-1
"Ask Filmlerinin Unutulmaz Yönetmeni",1990,7.7,-1,-1
"In Harihar Nagar",1990,8.6,-1,-1
"The Ambulance",1990,5.9,-1,-1
"A Cat in the Brain",1990,5.7,-1,-1
"Tatar Ramazan",1990,8.0,-1,-1
"Mindwalk",1990,7.6,-1,774048
"Madhouse",1990,5.5,-1,21036771
"Opportunity Knocks",1990,6.1,-1,11359129
"Milou in May",1990,7.3,-1,1576702
"Mr. & Mrs. Bridge",1990,6.6,73,7698010
"Sargento Kabukiman",1990,5.9,-1,-1
"Anjali",1990,8.2,-1,-1
"God of Gamblers II",1990,6.9,-1,-1
"Come See the Paradise",1990,6.7,-1,847306
"Shipwrecked",1990,6.7,-1,-1
"Don't Tell Her It's Me",1990,5.9,-1,1171762
"¡Ay, Carmela!",1990,7.2,-1,299090
"The Voice of the Moon",1990,6.3,-1,-1
"Texasville",1990,6.0,-1,2268181
"Sibling Rivalry",1990,5.4,-1,17854930
"Mister Frost",1990,6.1,-1,-1
"Slumber Party Massacre III",1990,4.7,-1,1242995
"The Nasty Girl",1990,7.3,-1,2281569
"Men Don't Leave",1990,6.6,-1,6070725
"Stella",1990,6.2,45,20240128
"Spontaneous Combustion",1990,4.8,-1,-1
"Prayer of the Rollerboys",1990,5.6,-1,-1
"Coupe de Ville",1990,6.7,-1,715983
"The Death King",1990,6.5,-1,-1
"Koltuk Belasi",1990,7.1,-1,-1
"Meet the Applegates",1990,5.5,-1,485772
"The Nutcracker Prince",1990,6.9,-1,1781694
"Demon Wind",1990,5.0,-1,-1
"The Dark Side of the Moon",1990,5.0,-1,-1
"Happily Ever After",1990,5.6,-1,3299382
"Singapore Sling",1990,6.6,-1,-1
"Koko Flanel",1990,6.3,-1,-1
"Short Time",1990,6.5,-1,4010647
"Across the Tracks",1990,5.8,-1,-1
"The Swordsman",1990,6.9,-1,-1
"All for the Winner",1990,6.9,-1,-1
"The Gate II: Trespassers",1990,4.8,-1,2032973
"Prom Night III: The Last Kiss",1990,4.7,-1,-1
"Sorority House Massacre II",1990,4.9,-1,-1
"Le cop 2",1990,6.2,-1,-1
"Journey of Hope",1990,7.5,-1,261718
"Side Out",1990,5.6,-1,449868
"To Sleep with Anger",1990,7.3,-1,1161135
"Graffiti Bridge",1990,4.5,34,4562778
"The Rift",1990,4.7,-1,-1
"Shakma",1990,5.1,-1,-1
"Downtown",1990,5.8,-1,2346150
"Abraxas, Guardian of the Universe",1990,2.8,-1,-1
"Tune in Tomorrow...",1990,6.2,-1,1794001
"Solar Crisis",1990,4.0,-1,-1
"Taxi Blues",1990,7.4,-1,169410
"Aashiqui",1990,6.3,-1,-1
"Baby Blood",1990,6.0,-1,-1
"The King of the Kickboxers",1990,5.9,-1,-1
"The Forbidden Dance",1990,3.9,-1,1823154
"Where the Heart Is",1990,6.0,-1,1106475
"A Nymphoid Barbarian in Dinosaur Hell",1990,2.6,-1,-1
"Mirror Mirror",1990,5.7,-1,-1
"Xtro 2: El segundo encuentro",1990,3.3,-1,-1
"The Local Stigmatic",1990,5.9,-1,-1
"The Willies",1990,5.1,-1,-1
"BlackJack",1990,5.6,-1,-1
"Flesh Gordon Meets the Cosmic Cheerleaders",1990,3.6,-1,-1
"Nueva ola",1990,6.8,-1,-1
"The Fourth War",1990,5.6,57,1305887
"Alienator",1990,3.2,-1,-1
"Le comiche",1990,5.8,-1,-1
"The Juniper Tree",1990,6.8,86,-1
"Fantozzi alla riscossa",1990,5.8,-1,-1
"Døden på Oslo S",1990,6.0,-1,-1
"Bullseye!",1990,4.6,-1,-1
"The Rainbow Thief",1990,5.9,-1,-1
"Funny About Love",1990,5.0,-1,8141292
"Def by Temptation",1990,4.7,-1,2218579
"Ek Doctor Ki Maut",1990,8.3,-1,-1
"Demonia",1990,4.5,-1,-1
"Dezha vyu",1990,7.6,-1,-1
"Archangel",1990,6.5,68,33308
"Korczak",1990,7.5,-1,-1
"Halfaouine: Boy of the Terraces",1990,6.7,-1,-1
"The Shrimp on the Barbie",1990,5.7,-1,458996
"Blue Heat",1990,5.8,-1,1531489
"A Rebel for Love",1990,5.6,-1,-1
"Impulse",1990,5.6,-1,2544504
"His Highness Abdullah",1990,7.9,-1,-1
"Uranus",1990,7.1,-1,342198
"Swarg",1990,6.7,-1,-1
"Love at Large",1990,5.7,-1,1436308
"The Invisible Maniac",1990,3.9,-1,-1
"First Rank",1990,5.4,-1,-1
"China O'Brien",1990,5.2,-1,-1
"Akkare Akkare Akkare",1990,7.6,-1,-1
"Everybody Wins",1990,5.1,-1,1372350
"No: 20 Madras Mail",1990,7.7,-1,-1
"Book of Love",1990,6.2,-1,1382259
"Death in Brunswick",1990,6.6,-1,-1
"I Bought a Vampire Motorcycle",1990,5.6,-1,-1
"Macken - Roy's & Roger's Bilservice",1990,6.1,-1,-1
"Pasport",1990,7.5,-1,-1
"Far Out Man",1990,5.1,-1,-1
"Maniac Nurses",1990,2.7,-1,-1
"Fear",1990,6.1,-1,-1
"The Big Man",1990,5.8,-1,59227
"Hard to Die",1990,5.0,-1,-1
"Why Me?",1990,6.2,-1,-1
"Lambada",1990,3.4,-1,4263112
"Boynu Bükük Küheylan",1990,6.4,-1,-1
"Nils Karlsson Pyssling",1990,5.6,-1,-1
"Strangers in Good Company",1990,7.7,-1,1002689
"Abuk Sabuk 1 Film",1990,6.4,-1,-1
"Upworld",1990,4.7,-1,-1
"Guns",1990,4.3,-1,-1
"The Big Steal",1990,7.0,-1,-1
"Shadowzone",1990,5.2,-1,-1
"Mister Johnson",1990,6.4,-1,1464242
"Not Crazy Like Me",1990,5.8,-1,-1
"Escape from the 'Liberty' Cinema",1990,7.2,-1,-1
"Watchers II",1990,4.1,-1,-1
"Heaven and Earth",1990,7.0,-1,307775
"Good Evening, Mr. Wallenberg",1990,6.5,-1,-1
"A Moment of Romance",1990,7.4,-1,-1
"Fuego, nieve y dinamita",1990,3.9,-1,-1
"A Cry in the Wild",1990,5.6,-1,1494969
"Grim Prairie Tales: Hit the Trail... to Terror",1990,5.4,-1,-1
"Rockula",1990,5.3,-1,-1
"On Tour",1990,6.9,-1,-1
"Hired to Kill",1990,4.7,-1,-1
"Rodrigo D: No futuro",1990,7.0,-1,-1
"Curry and Pepper",1990,6.5,-1,-1
"Les 1001 nuits",1990,5.5,-1,-1
"Mathilukal",1990,8.3,-1,-1
"You Are Mine",1990,4.8,-1,-1
"Sewage Baby",1990,4.7,-1,-1
"Thief of Dolls",1990,6.3,-1,-1
"No, o la vana gloria de mandar",1990,7.1,-1,-1
"Xuxa in Crystal Moon",1990,4.3,-1,-1
"Chains of Gold",1990,5.1,-1,-1
"Tiger Cage II",1990,7.0,-1,-1
"A Holy Place",1990,7.4,-1,-1
"La discreta",1990,7.0,-1,229160
"The Garden",1990,6.5,-1,5006
"War of the Birds",1990,7.2,-1,-1
"Blood Games",1990,5.3,-1,-1
"Blood Oath",1990,6.3,-1,-1
"Quieto, muere, resucita",1990,7.6,-1,-1
"Circuitry Man",1990,4.6,-1,-1
"Open Doors",1990,7.1,-1,123470
"Metamorphosis: The Alien Factor",1990,4.9,-1,-1
"Jagadeka Veerudu Athiloka Sundari",1990,8.0,-1,-1
"No Fear, No Die",1990,6.7,-1,-1
"Midnight Ride",1990,5.2,-1,-1
"Metamorphosis",1990,3.8,-1,-1
"No Retreat, No Surrender 3: Blood Brothers",1990,5.3,-1,-1
"Men of Respect",1990,5.5,-1,139155
"The Voyage of Captain Fracassa",1990,7.1,-1,-1
"Hanafy the Wonderful",1990,5.8,-1,-1
"The King's Whore",1990,5.8,-1,-1
"Daddy's Dyin'... Who's Got the Will?",1990,5.7,-1,1373728
"Courage Mountain",1990,5.7,-1,1393610
"Wings of Fame",1990,7.0,-1,-1
"Kill Cruise",1990,4.8,-1,-1
"A Show of Force",1990,5.2,-1,152982
"Blackest Heart",1990,5.2,-1,-1
"Ultra Warrior",1990,1.9,-1,410880
"Streets",1990,5.8,-1,1510053
"Look Out, Officer!",1990,5.9,-1,-1
"The Haunting of Morella",1990,4.3,-1,1547867
"Vital Signs",1990,5.5,-1,1224605
"The Spirit of '76",1990,6.0,-1,-1
"Deceit",1990,4.7,-1,-1
"The Jugglers",1990,7.6,-1,-1
"Caged Fury",1990,4.0,-1,-1
"Erotic Ghost Story",1990,5.6,-1,-1
"Night Sun",1990,7.0,-1,-1
"Kottayam Kunjachan",1990,7.3,-1,-1
"Quest for the Mighty Sword",1990,2.6,-1,-1
"Reis Bey",1990,7.7,-1,-1
"These Foolish Things",1990,6.9,-1,1108429
"Long Live Youth",1990,5.7,-1,-1
"Chicago Joe and the Showgirl",1990,5.0,-1,85395
"The Second Circle",1990,7.1,-1,-1
"Uunon huikeat poikamiesvuodet maaseudulla",1990,5.2,-1,-1
"Branches of the Tree",1990,7.7,-1,-1
"The Magician's Hat",1990,8.4,-1,-1
"Pledge Night",1990,4.8,-1,-1
"Ding et Dong le film",1990,5.7,-1,2400000
"Syngenor",1990,4.2,-1,-1
"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1990,7.1,-1,-1
"C'est la vie",1990,6.2,-1,805462
"Naked Tango",1990,6.0,-1,-1
"Sergeant Körmy and the Marshall's Stick",1990,5.4,-1,-1
"Kishen Kanhaiya",1990,5.9,-1,-1
"Cloud-Paradise",1990,7.9,-1,-1
"Bad Girls from Mars",1990,3.5,-1,-1
"Thazhvaram",1990,8.1,-1,-1
"Paper Mask",1990,6.7,-1,-1
"Kurt Olsson - filmen om mitt liv som mej själv",1990,4.7,-1,-1
"Deadly Manor",1990,4.7,-1,-1
"I, the Worst of All",1990,6.9,-1,52148
"Angel Town",1990,5.1,-1,855810
"Thousand Pieces of Gold",1990,6.9,-1,717772
"Stasera a casa di Alice",1990,5.7,-1,-1
"Vacanze di Natale '90",1990,4.7,-1,-1
"Nobody's Perfect",1990,5.7,-1,-1
"Beyond Darkness",1990,4.1,-1,-1
"Bloodfist II",1990,5.1,-1,1292323
"Vaikai is Amerikos viesbucio",1990,8.0,-1,-1
"Night Eyes",1990,4.3,-1,-1
"Días tranquilos en Clichy",1990,4.8,-1,-1
"Disturbed",1990,5.2,-1,-1
"Aaj Ka Arjun",1990,4.7,-1,-1
"In the Cold of the Night",1990,4.0,-1,-1
"Kid",1990,6.2,-1,-1
"The Crossing",1990,5.4,-1,-1
"Doctor Petiot",1990,7.1,-1,-1
"Night Killer",1990,4.0,-1,-1
"When Fortune Smiles",1990,6.3,-1,-1
"The Law",1990,7.0,-1,-1
"Killer Crocodile 2",1990,4.3,-1,-1
"Le party",1990,7.1,-1,-1
"The Exorcist III: Legion",1990,7.5,-1,-1
"Blue Desert",1990,5.3,-1,-1
"Jamai Raja",1990,5.4,-1,-1
"The Sleeping Car",1990,4.6,-1,-1
"Masters of Menace",1990,5.4,-1,-1
"Bright Angel",1990,5.5,-1,158243
"Skinny Tiger and Fatty Dragon",1990,6.7,-1,-1
"Peacemaker",1990,5.3,-1,-1
"There Were Days... and Moons",1990,6.0,-1,-1
"I Don't Owe 100 Times",1990,6.6,-1,-1
"Herman",1990,6.0,-1,-1
"Night Angel",1990,4.5,-1,-1
"Whispers",1990,4.4,-1,-1
"Red Dust",1990,7.0,-1,-1
"Rônin-gai",1990,6.8,-1,-1
"Thalayanamanthram",1990,7.7,-1,-1
"Magic Cop",1990,6.9,-1,-1
"China Cry: A True Story",1990,6.7,-1,4212828
"Hajde da se volimo 3",1990,4.2,-1,-1
"Sügis",1990,7.0,-1,-1
"Promoción Canapé",1990,4.4,-1,-1
"Samrajyam",1990,7.4,-1,-1
"Without You I'm Nothing",1990,6.5,-1,1218730
"Skinned Alive",1990,3.4,-1,-1
"Chicos de la calle",1990,7.0,-1,-1
"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'",1990,5.3,-1,-1
"Blood Salvage",1990,5.0,-1,-1
"Cold Dog Soup",1990,5.6,-1,-1
"Aye Auto",1990,7.1,-1,-1
"Bloodmoon",1990,4.6,-1,-1
"Waiting for the Light",1990,5.9,-1,808690
"The Palermo Connection",1990,5.6,-1,-1
"Pale Blood",1990,4.8,-1,-1
"De gulle minnaar",1990,3.9,-1,-1
"All the Vermeers in New York",1990,6.8,-1,142721
"Future Zone",1990,3.7,-1,-1
"The Disenchanted",1990,6.2,-1,-1
"The Devil's Island",1990,5.5,-1,-1
"Iron & Silk",1990,6.9,-1,356077
"Omega Cop",1990,2.6,-1,-1
"Amazon",1990,5.5,-1,-1
"Porno",1990,5.7,-1,-1
"Dr. M",1990,4.9,-1,-1
"Over Her Dead Body",1990,5.6,-1,-1
"Noche de verano en la ciudad",1990,6.7,-1,-1
"The Vampire Family",1990,6.2,-1,-1
"Love Is Love",1990,6.2,-1,-1
"Stalingrad",1990,6.9,-1,-1
"Song of the Exile",1990,7.4,-1,-1
"Hong Chang Fei Long",1990,5.5,-1,-1
"Body Chemistry",1990,4.3,-1,2415312
"Too Much Sun",1990,3.9,-1,-1
"Vice Academy Part 2",1990,4.4,-1,-1
"King of the Hill",1990,6.7,-1,267265
"Getting Lucky",1990,4.1,-1,-1
"Black Snow",1990,7.3,-1,-1
"Red Blooded American Girl",1990,3.4,-1,-1
"The Little Gangster",1990,6.8,-1,-1
"Bakenbardy",1990,7.3,-1,-1
"Silent Gunpowder",1990,7.3,-1,-1
"Thanedaar",1990,5.7,-1,-1
"Eminent Domain",1990,5.8,-1,151098
"Ee Thanutha Veluppan Kalathu",1990,7.4,-1,-1
"She Shoots Straight",1990,6.6,-1,-1
"The Return of Superfly",1990,4.9,-1,610402
"Ghar Ho To Aisa",1990,6.0,-1,-1
"Twilight",1990,7.4,-1,-1
"The Last Blood",1990,6.4,-1,-1
"Bethune: The Making of a Hero",1990,6.4,-1,-1
"My Hero",1990,5.7,-1,-1
"Like the Clouds, Like the Wind",1990,6.7,-1,-1
"The Revenger",1990,4.8,-1,-1
"Aquí huele a muerto... (¡pues yo no he sido!)",1990,4.0,-1,-1
"Julia Has Two Lovers",1990,5.2,-1,-1
"Click: The Calendar Girl Killer",1990,2.8,-1,-1
"The Station",1990,7.0,-1,-1
"Mirage",1990,5.5,-1,-1
"Tetri bairagebi",1990,8.4,-1,-1
"Lekin...",1990,7.6,-1,-1
"Kwagga Strikes Back",1990,6.5,-1,-1
"Dancin' Thru the Dark",1990,7.0,-1,-1
"Adisaya Piravi",1990,6.9,-1,-1
"The Rain Killer",1990,4.9,-1,1696066
"La fractura de miocardio",1990,6.6,-1,-1
"Dancing Machine",1990,4.1,-1,-1
"Spirits",1990,3.4,-1,-1
"Jugar o morir",1990,6.3,-1,-1
"Women's Ward",1990,7.3,-1,-1
"Haatim Tai",1990,5.7,-1,-1
"A Man Called Sarge",1990,4.9,-1,-1
"Vincent and Me",1990,6.3,-1,-1
"Xuxa and the Goofies in the Mystery of Robin Hood",1990,3.6,-1,-1
"The Silence of the Lambs",1991,8.6,85,130742922
"Terminator 2: Judgment Day",1991,8.5,75,204843350
"Beauty and the Beast",1991,8.0,95,218967620
"Hook",1991,6.8,52,119654823
"Robin Hood: Prince of Thieves",1991,6.9,51,165500000
"Cape Fear",1991,7.3,73,79100000
"Point Break",1991,7.3,58,43218387
"JFK",1991,8.0,72,70405498
"The Addams Family",1991,6.9,57,113502000
"Thelma & Louise",1991,7.5,88,45361000
"Boyz n the Hood",1991,7.8,76,57504069
"Barton Fink",1991,7.7,69,6153939
"The Naked Gun 2½: The Smell of Fear",1991,6.9,65,86930411
"Hot Shots!",1991,6.8,61,69467617
"The Last Boy Scout",1991,7.0,52,59509925
"The Doors",1991,7.2,62,35183792
"Delicatessen",1991,7.6,66,1794187
"The Fisher King",1991,7.5,61,41895491
"My Girl",1991,6.9,56,59847242
"Backdraft",1991,6.7,38,77868585
"Star Trek VI: The Undiscovered Country",1991,7.2,65,74888996
"Bill & Ted's Bogus Journey",1991,6.3,60,38037513
"Father of the Bride",1991,6.5,51,89325780
"Fried Green Tomatoes at the Whistle Stop Cafe",1991,7.7,64,82418501
"What About Bob?",1991,7.0,60,63710000
"Night on Earth",1991,7.8,68,2015810
"Rocketeer",1991,6.5,61,46704056
"Hudson Hawk",1991,5.8,17,17218080
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991,6.1,45,78656813
"My Own Private Idaho",1991,7.1,77,6401336
"Sleeping with the Enemy",1991,6.3,48,101599005
"City Slickers",1991,6.8,70,124033791
"Naked Lunch",1991,7.1,67,2541541
"Highlander II: The Quickening",1991,4.3,31,15556340
"The Double Life of Véronique",1991,7.8,86,1999955
"Freddy's Dead: The Final Nightmare",1991,4.9,39,34872033
"Double Impact",1991,5.6,40,30102717
"Child's Play 3",1991,5.1,27,14960255
"Doc Hollywood",1991,6.2,56,54830779
"The Commitments",1991,7.6,73,14919570
"New Jack City",1991,6.7,61,47624253
"The People Under the Stairs",1991,6.4,57,24204154
"Oscar",1991,6.6,-1,23562716
"L.A. Story",1991,6.7,66,28862081
"Raise the Red Lantern",1991,8.1,-1,2603061
"Regarding Henry",1991,6.7,47,43001500
"Frankie and Johnny",1991,6.8,66,22773535
"Don't Tell Mom the Babysitter's Dead",1991,6.3,35,25196249
"Drop Dead Fred",1991,6.0,25,43878334
"Only Yesterday",1991,7.6,90,453243
"Bugsy",1991,6.8,80,49114016
"Dead Again",1991,6.9,66,38016380
"An American Tail: Fievel Goes West",1991,6.5,-1,22166041
"Nothing But Trouble",1991,5.2,13,8479793
"Out for Justice",1991,6.1,38,39673161
"Problem Child 2",1991,4.9,-1,25104700
"Curly Sue",1991,5.9,-1,33691313
"Europa",1991,7.6,69,1007001
"Toy Soldiers",1991,6.6,46,15073942
"White Fang",1991,6.7,62,34793160
"Armour of God II: Operation Condor",1991,7.3,-1,10440032
"Harley Davidson and the Marlboro Man",1991,6.2,-1,7434726
"The Hard Way",1991,6.4,-1,25895485
"Return to the Blue Lagoon",1991,5.2,28,2807854
"Once Upon a Time in China",1991,7.3,-1,-1
"Jungle Fever",1991,6.6,78,32482682
"Defending Your Life",1991,7.2,63,16371128
"Showdown in Little Tokyo",1991,6.1,-1,2275557
"The Prince of Tides",1991,6.8,65,74787599
"Shadows and Fog",1991,6.7,-1,2735731
"Ricochet",1991,6.2,49,21760000
"The Man in the Moon",1991,7.4,-1,2853801
"King Ralph",1991,5.3,-1,34002045
"Dying Young",1991,6.1,-1,33669178
"Grand Canyon",1991,6.9,64,33243020
"Soapdish",1991,6.6,65,36489888
"High Heels",1991,7.1,51,1710057
"Little Man Tate",1991,6.6,71,25010896
"Mediterraneo",1991,7.5,-1,4532791
"Story of Ricky aka Riki-Oh",1991,7.1,-1,-1
"Les Amants du Pont-Neuf",1991,7.6,-1,117569
"Not Without My Daughter",1991,6.4,57,14789113
"Driving Me Crazy",1991,6.5,-1,4603929
"Billy Bathgate",1991,5.9,-1,15965919
"Critters 3",1991,4.5,-1,-1
"Career Opportunities",1991,5.9,41,11336986
"Ernest Scared Stupid",1991,5.8,38,14143280
"Necessary Roughness",1991,6.2,45,26255594
"Only the Lonely",1991,6.4,-1,21830957
"Johnny Stecchino",1991,7.2,-1,574392
"Thalapathi",1991,8.5,-1,-1
"Life Stinks",1991,6.0,54,4102526
"Kafka",1991,6.9,46,1059071
"Suburban Commando",1991,4.5,-1,6948859
"Until the End of the World",1991,6.8,63,752856
"Cool as Ice",1991,2.9,-1,1193062
"Switch",1991,5.8,-1,15545943
"F/X2",1991,5.9,48,21082165
