CMDLINE 'c:\program files\python38\python.exe' .\metro_bikes.py
MEM 1.675781 1603534473.2550
MEM 21.546875 1603534473.3551
MEM 34.214844 1603534473.4552
MEM 44.222656 1603534473.5553
MEM 142.824219 1603534473.6554
MEM 146.843750 1603534473.7555
MEM 148.800781 1603534473.8556
MEM 150.593750 1603534473.9557
MEM 152.531250 1603534474.0558
MEM 154.218750 1603534474.1558
MEM 155.937500 1603534474.2559
MEM 158.140625 1603534474.3560
MEM 159.417969 1603534474.4561
MEM 160.667969 1603534474.5562
MEM 161.253906 1603534474.6563
MEM 162.863281 1603534474.7564
MEM 166.230469 1603534474.8565
MEM 166.039062 1603534474.9566
MEM 167.632812 1603534475.0567
MEM 169.226562 1603534475.1568
MEM 170.757812 1603534475.2568
MEM 172.308594 1603534475.3569
MEM 173.882812 1603534475.4570
MEM 175.464844 1603534475.5571
MEM 177.023438 1603534475.6572
MEM 178.636719 1603534475.7573
MEM 180.195312 1603534475.8574
MEM 181.789062 1603534475.9575
MEM 183.398438 1603534476.0576
MEM 184.914062 1603534476.1577
MEM 186.523438 1603534476.2578
MEM 187.656250 1603534476.3578
MEM 188.164062 1603534476.4579
MEM 188.164062 1603534476.5580
MEM 189.199219 1603534476.6581
MEM 189.464844 1603534476.7587
MEM 189.726562 1603534476.8588
MEM 190.734375 1603534476.9589
MEM 192.062500 1603534477.0592
MEM 193.386719 1603534477.1600
MEM 193.417969 1603534477.2601
MEM 193.417969 1603534477.3603
MEM 193.421875 1603534477.4604
MEM 193.421875 1603534477.5606
MEM 193.421875 1603534477.6607
MEM 193.425781 1603534477.7608
MEM 193.425781 1603534477.8610
MEM 193.425781 1603534477.9611
MEM 194.027344 1603534478.0612
MEM 208.496094 1603534478.1613
MEM 217.410156 1603534478.2614
MEM 231.566406 1603534478.3620
MEM 85.242188 1603534478.4621
